diag_2,diag_2_id
276,1
428,2
250,3
427,4
401,5
496,6
599,7
403,8
414,9
411,10
250.02,11
707,12
585,13
584,14
491,15
250.01,16
285,17
780,18
425,19
682,20
486,21
518,22
424,23
413,24
250.6,25
493,26
305,27
786,28
280,29
998,30
410,31
511,32
785,33
38,34
996,35
272,36
571,37
197,38
V45,39
295,40
440,41
162,42
577,43
560,44
788,45
997,46
41,47
?,48
578,49
453,50
574,51
789,52
648,53
402,54
198,55
799,56
287,57
426,58
530,59
303,60
70,61
278,62
V42,63
438,64
730,65
250.03,66
591,67
250.41,68
790,69
342,70
492,71
196,72
787,73
250.8,74
404,75
250.92,76
112,77
8,78
536,79
507,80
535,81
434,82
733,83
784,84
202,85
396,86
250.82,87
569,88
304,89
263,90
250.4,91
V85,92
284,93
710,94
296,95
515,96
294,97
V58,98
244,99
433,100
300,101
458,102
724,103
562,104
348,105
722,106
590,107
250.7,108
V43,109
728,110
V15,111
781,112
593,113
715,114
340,115
286,116
204,117
135,118
995,119
E878,120
E885,121
E888,122
331,123
558,124
153,125
466,126
415,127
444,128
482,129
250.13,130
250.42,131
412,132
V10,133
292,134
250.12,135
416,136
250.81,137
242,138
435,139
729,140
567,141
719,142
203,143
157,144
42,145
576,146
572,147
311,148
731,149
564,150
581,151
805,152
250.11,153
V54,154
357,155
592,156
553,157
293,158
456,159
443,160
288,161
782,162
291,163
437,164
568,165
255,166
397,167
595,168
V12,169
344,170
250.51,171
V62,172
250.5,173
301,174
575,175
721,176
277,177
794,178
596,179
205,180
723,181
250.52,182
465,183
820,184
E849,185
211,186
459,187
490,188
337,189
309,190
282,191
290,192
552,193
189,194
625,195
531,196
512,197
573,198
808,199
807,200
154,201
218,202
345,203
332,204
711,205
253,206
873,207
441,208
289,209
V49,210
681,211
250.83,212
398,213
714,214
812,215
473,216
481,217
250.22,218
600,219
E932,220
557,221
250.43,222
327,223
349,224
150,225
618,226
275,227
E942,228
999,229
155,230
53,231
446,232
429,233
455,234
451,235
850,236
478,237
V63,238
362,239
519,240
537,241
358,242
516,243
620,244
79,245
626,246
V64,247
642,248
174,249
185,250
726,251
532,252
447,253
274,254
94,255
727,256
250.53,257
420,258
802,259
436,260
738,261
924,262
783,263
151,264
920,265
E935,266
312,267
V65,268
611,269
680,270
813,271
616,272
601,273
138,274
386,275
432,276
368,277
555,278
250.93,279
346,280
252,281
583,282
E947,283
E884,284
421,285
566,286
394,287
716,288
E879,289
821,290
298,291
283,292
201,293
617,294
860,295
614,296
200,297
824,298
E880,299
753,300
736,301
556,302
487,303
281,304
319,305
250.1,306
238,307
852,308
746,309
156,310
462,311
423,312
431,313
333,314
261,315
442,316
E928,317
958,318
338,319
745,320
840,321
550,322
570,323
359,324
823,325
607,326
183,327
696,328
191,329
378,330
262,331
152,332
V72,333
382,334
199,335
356,336
756,337
E939,338
307,339
959,340
514,341
718,342
233,343
40,344
494,345
627,346
540,347
250.2,348
905,349
792,350
314,351
816,352
693,353
335,354
V44,355
881,356
279,357
241,358
717,359
E944,360
517,361
737,362
510,363
V46,364
485,365
E950,366
608,367
706,368
251,369
54,370
34,371
V09,372
188,373
E934,374
586,375
317,376
117,377
867,378
461,379
354,380
260,381
825,382
533,383
709,384
565,385
923,386
324,387
V57,388
V17,389
861,390
741,391
579,392
922,393
208,394
883,395
524,396
172,397
214,398
E930,399
273,400
705,401
220,402
836,403
750,404
796,405
V18,406
250.91,407
266,408
845,409
365,410
380,411
110,412
299,413
E812,414
621,415
528,416
V08,417
V70,418
369,419
E936,420
758,421
892,422
457,423
882,424
9,425
619,426
646,427
322,428
250.9,429
452,430
701,431
594,432
759,433
712,434
686,435
430,436
847,437
934,438
E927,439
297,440
910,441
508,442
713,443
E917,444
891,445
454,446
969,447
227,448
343,449
685,450
684,451
136,452
336,453
389,454
694,455
791,456
604,457
864,458
245,459
747,460
310,461
225,462
323,463
623,464
868,465
V66,466
372,467
844,468
851,469
909,470
865,471
907,472
495,473
480,474
598,475
793,476
250.33,477
513,478
521,479
692,480
588,481
500,482
698,483
E937,484
647,485
E933,486
644,487
258,488
527,489
V02,490
320,491
31,492
652,493
725,494
989,495
801,496
360,497
831,498
810,499
826,500
355,501
501,502
E858,503
806,504
193,505
250.21,506
306,507
484,508
246,509
422,510
E881,511
921,512
522,513
822,514
664,515
250.32,516
645,517
656,518
837,519
383,520
933,521
E887,522
E924,523
217,524
351,525
913,526
E931,527
945,528
603,529
V14,530
919,531
972,532
405,533
477,534
11,535
131,536
395,537
691,538
379,539
448,540
E870,541
815,542
E906,543
27,544
870,545
308,546
376,547
373,548
259,549
542,550
862,551
E816,552
991,553
965,554
742,555
470,556
E905,557
463,558
377,559
250.23,560
842,561
V23,562
239,563
751,564
659,565
483,566
661,567
464,568
814,569
641,570
78,571
352,572
341,573
967,574
952,575
543,576
75,577
E819,578
V53,579
318,580
622,581
853,582
215,583
141,584
366,585
610,586
381,587
V11,588
E814,589
226,590
795,591
V16,592
E853,593
869,594
872,595
179,596
E916,597
472,598
911,599
E821,600
980,601
918,602
866,603
654,604
V55,605
797,606
240,607
269,608
906,609
474,610
663,611
634,612
228,613
V61,614
755,615
534,616
695,617
992,618
649,619
171,620
602,621
916,622
250.3,623
V86,624
E941,625
880,626
843,627
111,628
7,629
E900,630
E829,631
529,632
580,633
974,634
E919,635
E980,636
605,637
E817,638
665,639
V60,640
325,641
670,642
871,643
E813,644
364,645
347,646
180,647
E915,648
977,649
114,650
915,651
E918,652
V13,653
195,654
E945,655
130,656
52,657
270,658
88,659
955,660
833,661
963,662
137,663
800,664
256,665
683,666
115,667
E929,668
893,669
232,670
704,671
V25,672
863,673
947,674
E868,675
752,676
811,677
223,678
879,679
316,680
523,681
46,682
962,683
658,684
987,685
145,686
V03,687
E938,688
475,689
884,690
186,691
927,692
615,693
968,694
182,695
944,696
35,697
734,698
350,699
E882,700
748,701
302,702
99,703
460,704
353,705
953,706
V69,707
164,708
E818,709
374,710
702,711
268,712
173,713
894,714
917,715
235,716
674,717
192,718
E883,719
912,720
96,721
506,722
E854,723
908,724
994,725
846,726
975,727
E890,728
832,729
754,730
V50,731
703,732
E826,733
140,734
520,735
123,736
E850,737
5,738
271,739
942,740
66,741
E965,742
163,743
250.31,744
212,745
388,746
990,747
948,748
E968,749
